Paystep,BAC1,C1+PD,BA+30+C2,C2+ID,MA+C2+PD,C2+ID+PD,MA+30+C6,MA+30,C6+PD
1A,56711,61847,58614,62134,63751,67267,65656,70789
1B,56711,61847,58614,62134,63751,67267,65656,70789
2A,57838,62974,59741,63261,64878,68394,66783,71916
2B,57838,62974,59741,63261,64878,68394,66783,71916
3A,58317,63453,60220,63740,65357,68873,67262,72395
3B,58317,63453,60220,63740,65357,68873,67262,72395
4A,59160,64296,61063,64583,66200,69716,68105,73238
4B,59160,64296,61063,64583,66200,69716,68105,73238
5A,59891,65027,61794,65314,66931,70447,68836,73969
5B,59891,65027,61794,65314,66931,70447,68836,73969
6A,60676,65812,62579,66099,67716,71232,69621,74754
6A+L5,61871,67007,63774,67294,68911,72427,70816,75949
6B,61790,66926,63693,67213,68830,72346,70735,75868
6B+L5,62985,68121,64888,68408,70025,73541,71930,77063
7A,63443,68579,65346,68866,70483,73999,72388,77521
7A+L5,64638,69774,66541,70061,71678,75194,73583,78716
7B,67316,72452,69219,72739,74356,77872,76261,81394
7B+L5,68511,73647,70414,73934,75551,79067,77456,82589
8A,70937,76073,72840,76360,77977,81493,79882,85015
8A+L5,72132,77268,74035,77555,79172,82688,81077,86210
8B,75238,80374,77141,80661,82278,85794,84183,89316
8B+L5,76433,81569,78336,81856,83473,86989,85378,90511
8B+L10,80120,85256,82023,85543,87160,90676,89065,94198
8B+L13,82631,87767,84534,88054,89671,93187,91576,96709
8B+L15,87931,93067,89834,93354,94971,98487,96876,102009
8B+L18,89322,94458,91225,94745,96362,99878,98267,103400
8B+L20,99607,104743,101510,105030,106647,110163,108552,113685
8B+L22,105394,110530,107297,110817,112434,115950,114339,119472
