Paystep,BA,Pre1970,BA+30,BA+60,BA+66,BA+96,MA,MA+
1A:2018,56711,61847,58614,62134,63751,67267,65656,70789
1B:2018,56711,61847,58614,62134,63751,67267,65656,70789
2A:2018,57838,62974,59741,63261,64878,68394,66783,71916
2B:2018,57838,62974,59741,63261,64878,68394,66783,71916
3A:2018,58317,63453,60220,63740,65357,68873,67262,72395
3B:2018,58317,63453,60220,63740,65357,68873,67262,72395
4A:2018,59160,64296,61063,64583,66200,69716,68105,73238
4B:2018,59160,64296,61063,64583,66200,69716,68105,73238
5A:2018,59891,65027,61794,65314,66931,70447,68836,73969
5B:2018,59891,65027,61794,65314,66931,70447,68836,73969
6A:2018,60676,65812,62579,66099,67716,71232,69621,74754
6A+L5:2018,61871,67007,63774,67294,68911,72427,70816,75949
6B:2018,61790,66926,63693,67213,68830,72346,70735,75868
6B+L5:2018,62985,68121,64888,68408,70025,73541,71930,77063
7A:2018,63443,68579,65346,68866,70483,73999,72388,77521
7A+L5:2018,64638,69774,66541,70061,71678,75194,73583,78716
7B:2018,67316,72452,69219,72739,74356,77872,76261,81394
7B+L5:2018,68511,73647,70414,73934,75551,79067,77456,82589
8A:2018,70937,76073,72840,76360,77977,81493,79882,85015
8A+L5:2018,72132,77268,74035,77555,79172,82688,81077,86210
8B:2018,75238,80374,77141,80661,82278,85794,84183,89316
8B+L5:2018,76433,81569,78336,81856,83473,86989,85378,90511
8B+L10:2018,80120,85256,82023,85543,87160,90676,89065,94198
8B+L13:2018,82631,87767,84534,88054,89671,93187,91576,96709
8B+L15:2018,87931,93067,89834,93354,94971,98487,96876,102009
8B+L18:2018,89322,94458,91225,94745,96362,99878,98267,103400
8B+L20:2018,99607,104743,101510,105030,106647,110163,108552,113685
8B+L22:2018,105394,110530,107297,110817,112434,115950,114339,119472
1A:2019,57845,63084,59786,63376,65026,68612,66969,72205
1B:2019,57845,63084,59786,63376,65026,68612,66969,72205
2A:2019,58995,64234,60936,64526,66176,69762,68119,73355
2B:2019,58995,64234,60936,64526,66176,69762,68119,73355
3A:2019,59483,64722,61424,65014,66664,70250,68607,73843
3B:2019,59483,64722,61424,65014,66664,70250,68607,73843
4A:2019,60343,65582,62284,65874,67524,71110,69467,74703
4B:2019,60343,65582,62284,65874,67524,71110,69467,74703
5A:2019,61089,66328,63030,66620,68270,71856,70213,75449
5B:2019,61089,66328,63030,66620,68270,71856,70213,75449
6A:2019,61890,67129,63831,67421,69071,72657,71014,76250
6A+L5:2019,63109,68348,65050,68640,70290,73876,72233,77469
6B:2019,63026,68265,64967,68557,70207,73793,72150,77386
6B+L5:2019,64245,69484,66186,69776,71426,75012,73369,78605
7A:2019,64712,69951,66653,70243,71893,75479,73836,79072
7A+L5:2019,65931,71170,67872,71462,73112,76698,75055,80291
7B:2019,68662,73901,70603,74193,75843,79429,77786,83022
7B+L5:2019,69881,75120,71822,75412,77062,80648,79005,84241
8A:2019,72356,77595,74297,77887,79537,83123,81480,86716
8A+L5:2019,73575,78814,75516,79106,80756,84342,82699,87935
8B:2019,76743,81982,78684,82274,83924,87510,85867,91103
8B+L5:2019,77962,83201,79903,83493,85143,88729,87086,92322
8B+L10:2019,81723,86962,83664,87254,88904,92490,90847,96083
8B+L13:2019,84284,89523,86225,89815,91465,95051,93408,98644
8B+L15:2019,89690,94929,91631,95221,96871,100457,98814,104050
8B+L18:2019,91109,96348,93050,96640,98290,101876,100233,105469
8B+L20:2019,101599,106838,103540,107130,108780,112366,110723,115959
8B+L22:2019,107502,112741,109443,113033,114683,118269,116626,12186
1A:2020,59291,64661,61281,64960,66652,70327,68643,74010
1B:2020,59291,64661,61281,64960,66652,70327,68643,74010
2A:2020,60470,65840,62460,66139,67831,71506,69822,75189
2B:2020,60470,65840,62460,66139,67831,71506,69822,75189
3A:2020,60970,66340,62960,66639,68331,72006,70322,75689
3B:2020,60970,66340,62960,66639,68331,72006,70322,75689
4A:2020,61852,67222,63842,67521,69213,72888,71204,76571
4B:2020,61852,67222,63842,67521,69213,72888,71204,76571
5A:2020,62616,67986,64606,68285,69977,73652,71968,77335
5B:2020,62616,67986,64606,68285,69977,73652,71968,77335
6A:2020,63437,68807,65427,69106,70798,74473,72789,78156
6A+L5:2020,64686,70056,66676,70355,72047,75722,74038,79405
6B:2020,64602,69972,66592,70271,71963,75638,73954,79321
6B+L5:2020,65851,71221,67841,71520,73212,76887,75203,80570
7A:2020,66330,71700,68320,71999,73691,77366,75682,81049
7A+L5:2020,67579,72949,69569,73248,74940,78615,76931,82298
7B:2020,70379,75749,72369,76048,77740,81415,79731,85098
7B+L5:2020,71628,76998,73618,77297,78989,82664,80980,86347
8A:2020,74165,79535,76155,79834,81526,85201,83517,88884
8A+L5:2020,75414,80784,77404,81083,82775,86450,84766,90133
8B:2020,78662,84032,80652,84331,86023,89698,88014,93381
