Paystep,BAC1,C1+PD,BA+30C2,C2+ID,C2+PD,C2+ID+PD,MA+30C6,MA+30C6+PD
1A,62902,68599,65014,68916,70711,74610,72824,78518
1B,62902,68599,65014,68916,70711,74610,72824,78518
2A,64153,69850,66265,70167,71962,75861,74075,79769
2B,64153,69850,66265,70167,71962,75861,74075,79769
3A,64683,70380,66795,70697,72492,76391,74605,80299
3B,64683,70380,66795,70697,72492,76391,74605,80299
4A,65619,71316,67731,71633,73428,77327,75541,81235
4B,65619,71316,67731,71633,73428,77327,75541,81235
5A,66429,72126,68541,72443,74238,78137,76351,82045
5B,66429,72126,68541,72443,74238,78137,76351,82045
6A,67300,72997,69412,73314,75109,79008,77222,82916
6A+L5,68625,74322,70737,74639,76434,80333,78547,84241
6B,68536,74233,70648,74550,76345,80244,78458,84152
6B+L5,69861,75558,71973,75875,77670,81569,79783,85477
7A,70370,76067,72482,76384,78179,82078,80292,85986
7A+L5,71695,77392,73807,77709,79504,83403,81617,87311
7B,74665,80362,76777,80679,82474,86373,84587,90281
7B+L5,75990,81687,78102,82004,83799,87698,85912,91606
8A,78682,84379,80794,84696,86491,90390,88604,94298
8A+L5,80007,85704,82119,86021,87816,91715,89929,95623
8B,83453,89150,85565,89467,91262,95161,93375,99069
8B+L5,84778,90475,86890,90792,92587,96486,94700,100394
8B+L10,88869,94566,90981,94883,96678,100577,98791,104485
8B+L13,91654,97351,93766,97668,99463,103362,101576,107270
8B+L15,97532,103229,99644,103546,105341,109240,107454,113148
8B+L18,99075,104772,101187,105089,106884,110783,108997,114691
8B+L20,110481,116178,112593,116495,118290,122189,120403,126097
8B+L22,116901,122598,119013,122915,124710,128609,126823,132517
