Paystep,BAC1,C1+PD,BA+30C2,C2+ID,C2+PD,C2+ID+PD,MA+30C6,MA+30C6+PD
1A,61070,66601,63120,66909,68652,72437,70703,76231
1B,61070,66601,63120,66909,68652,72437,70703,76231
2A,62284,67815,64334,68123,69866,73651,71917,77445
2B,62284,67815,64334,68123,69866,73651,71917,77445
3A,62799,68330,64849,68638,70381,74166,72432,77960
3B,62799,68330,64849,68638,70381,74166,72432,77960
4A,63708,69239,65758,69547,71290,75075,73341,78869
4B,63708,69239,65758,69547,71290,75075,73341,78869
5A,64494,70025,66544,70333,72076,75861,74127,79655
5B,64494,70025,66544,70333,72076,75861,74127,79655
6A,65340,70871,67390,71179,72922,76707,74973,80501
6A+L5,66626,72157,68676,72465,74208,77993,76259,81787
6B,66540,72071,68590,72379,74122,77907,76173,81701
6B+L5,67826,73357,69876,73665,75408,79193,77459,82987
7A,68320,73851,70370,74159,75902,79687,77953,83481
7A+L5,69606,75137,71656,75445,77188,80973,79239,84767
7B,72490,78021,74540,78329,80072,83857,82123,87651
7B+L5,73776,79307,75826,79615,81358,85143,83409,88937
8A,76390,81921,78440,82229,83972,87757,86023,91551
8A+L5,77676,83207,79726,83515,85258,89043,87309,92837
8B,81022,86553,83072,86861,88604,92389,90655,96183
8B+L5,82308,87839,84358,88147,89890,93675,91941,97469
8B+L10,86280,91811,88330,92119,93862,97647,95913,101441
8B+L13,88984,94515,91034,94823,96566,100351,98617,104145
8B+L15,94691,100222,96741,100530,102273,106058,104324,109852
8B+L18,96189,101720,98239,102028,103771,107556,105822,111350
8B+L20,107263,112794,109313,113102,114845,118630,116896,122424
8B+L22,113496,119027,115546,119335,121078,124863,123129,128657
