Paystep BAC1 C1+PD BA+30C2 C2+ID C2+PD C2+ID+PD MA+30C6 MA+30C6+PD
1A 64,789 70,657 66,964 70,983 72,832 76,848 75,009 80,873
1B 64,789 70,657 66,964 70,983 72,832 76,848 75,009 80,873
2A 66,078 71,946 68,253 72,272 74,121 78,137 76,298 82,162
2B 66,078 71,946 68,253 72,272 74,121 78,137 76,298 82,162
3A 66,623 72,491 68,798 72,817 74,666 78,682 76,843 82,707
3B 66,623 72,491 68,798 72,817 74,666 78,682 76,843 82,707
4A 67,588 73,456 69,763 73,782 75,631 79,647 77,808 83,672
4B 67,588 73,456 69,763 73,782 75,631 79,647 77,808 83,672
5A 68,422 74,290 70,597 74,616 76,465 80,481 78,642 84,506
5B 68,422 74,290 70,597 74,616 76,465 80,481 78,642 84,506
6A 69,319 75,187 71,494 75,513 77,362 81,378 79,539 85,403
6A+L5 70,684 76,552 72,859 76,878 78,727 82,743 80,904 86,768
6B 70,592 76,460 72,767 76,786 78,635 82,651 80,812 86,676
6B+L5 71,957 77,825 74,132 78,151 80,000 84,016 82,177 88,041
7A 72,481 78,349 74,656 78,675 80,524 84,540 82,701 88,565
7A+L5 73,846 79,714 76,021 80,040 81,889 85,905 84,066 89,930
7B 76,905 82,773 79,080 83,099 84,948 88,964 87,125 92,989
7B+L5 78,270 84,138 80,445 84,464 86,313 90,329 88,490 94,354
8A 81,042 86,910 83,217 87,236 89,085 93,101 91,262 97,126
8A+L5 82,407 88,275 84,582 88,601 90,450 94,466 92,627 98,491
8B 85,957 91,825 88,132 92,151 94,000 98,016 96,177 102,041
8B+L5 87,322 93,190 89,497 93,516 95,365 99,381 97,542 103,406
8B+L10 91,535 97,403 93,710 97,729 99,578 103,594 101,755 107,619
8B+L13 94,404 100,272 96,579 100,598 102,447 106,463 104,624 110,488
8B+L15 100,458 106,326 102,633 106,652 108,501 112,517 110,678 116,542
8B+L18 102,048 107,916 104,223 108,242 110,091 114,107 112,268 118,132
8B+L20 113,796 119,664 115,971 119,990 121,839 125,855 124,016 129,880
8B+L22 120,408 126,276 122,583 126,602 128,451 132,467 130,628 136,492
